LD1,LD2,LD3,LD4,LD5,LD6,Pastry,Z_Scratch,K_Scratch,Stains,Dirtiness,Bumps,Other_Faults
-1.6202627928611293,-1.155072356772514,-1.6317934512697034,-1.8273135007039787,0.7346229308494415,1.5765714739947663,1,0,0,0,0,0,0
-2.2452250536506355,0.7218254915353637,-1.6248328985509974,-1.1674166930255379,0.9559083163696045,0.30261997596184853,1,0,0,0,0,0,0
-2.335499574753728,0.5124937840586397,-1.198258984348393,-0.3123586504656574,0.2266118894184133,0.02679991806752578,1,0,0,0,0,0,0
-2.3542829800190685,1.7302578929577028,-0.9202852334898408,-1.3594357393793055,-2.328202723831653,-1.0213027035253757,1,0,0,0,0,0,0
0.2731960459663038,0.8662902144956811,-2.58596787085714,-2.221823114399116,0.12496253577990467,-0.24530890601694547,1,0,0,0,0,0,0
-0.8089345187368167,1.5305028401000063,-0.2350360593803226,-2.223799789383725,1.0895694202927764,0.9048872518980388,1,0,0,0,0,0,0
-1.179726251235613,0.6394727030347276,-6.526749688360714,-0.7310695578612166,1.397783688542312,0.8811230235633309,1,0,0,0,0,0,0
0.27869469141615105,1.7329221247580877,-1.639890953122473,0.4993298871297159,-1.331267515835079,2.1909114938169876,1,0,0,0,0,0,0
0.18308966069915245,2.3684891894091864,-1.992552784831281,0.641489294261721,-0.14780933778244704,3.137280593851191,1,0,0,0,0,0,0
0.4254631244286322,1.5693063106632321,-2.729563519771994,-1.884665799454026,0.23188591227483185,1.7771181571323393,1,0,0,0,0,0,0
-0.3268229069088546,2.2447203461263157,-2.1204262160878606,-0.3413315164286796,-0.6804364952925062,3.7209933841518175,1,0,0,0,0,0,0
-1.9702576910386647,2.1412511043456126,-0.9240272719801793,-1.5315875903338787,-0.964062180408784,0.126726797173914,1,0,0,0,0,0,0
-0.39676008434352267,1.8964774482732234,-2.1042878310053457,-0.5930232412617813,-0.8767641824611723,3.018228202184272,1,0,0,0,0,0,0
-1.3765290236401968,2.3923468646194057,-2.2523155919688076,-1.2731100573866045,0.23143568954937296,0.5087649582688142,1,0,0,0,0,0,0
-0.6765150027508464,2.603176056566318,-2.283808498304028,-0.6098688464354264,0.2511281845969311,2.267552891892055,1,0,0,0,0,0,0
-0.5500290730627576,2.640518036185086,-2.2989554513240527,-1.40212626939175,0.5476934160065867,-0.004285005032294372,1,0,0,0,0,0,0
1.49892883327334,0.9834872994119916,-3.384035197767471,-1.3883959177392065,0.2503074156117109,1.5910970625985403,1,0,0,0,0,0,0
-1.1601292747554404,1.5588505224163012,-1.5122992835425415,-1.276013377152408,-0.7549642143939296,1.862642962569466,1,0,0,0,0,0,0
-0.720941775134636,1.5119389148036486,-2.2971209515292705,-0.6361549688957643,-1.1991449959557055,2.7492474781785723,1,0,0,0,0,0,0
-0.8748152667326983,2.3373534408683003,-2.4086442644427035,0.9887061375363481,-1.7514777117176932,1.506021689739648,1,0,0,0,0,0,0
-0.6563602828218815,1.1945597802202166,-2.279840981987994,-0.3986884781716409,-1.39018777105048,2.3893285589279953,1,0,0,0,0,0,0
-1.1339074444028328,1.2632505615229102,-1.648176790774357,-0.46248458303013235,-2.1180112338572132,2.2971830717293518,1,0,0,0,0,0,0
-0.40214616936429004,1.580558158946776,-1.4616863395337347,0.3443717966731999,-2.071974151419813,2.7653862395859257,1,0,0,0,0,0,0
-0.6145968532559217,1.657512448507127,-1.9469670198135622,-0.7017060093764348,-1.5190883043358179,2.4770029640712963,1,0,0,0,0,0,0
-0.6299181294684951,1.0288852785682625,-2.2967266276473577,-0.8098080968232871,-1.9698083982475738,1.2767848533039523,1,0,0,0,0,0,0
-0.28420782023547847,0.8067854378317069,-1.3824762254267007,-0.5164400480382889,0.022125071522626657,1.918576659306269,1,0,0,0,0,0,0
-0.6983177494491201,0.892137659841042,-0.8077386709406219,-0.6419058727493713,0.31504219236424946,1.5217340438998146,1,0,0,0,0,0,0
-1.5008087012344087,2.3205767394051953,-2.3717065279149776,-0.6179393724157157,0.7535793375732108,0.2821189352369673,1,0,0,0,0,0,0
0.9551087528392844,1.0160200568236362,-2.9268651728630877,-2.4228174228736945,2.329767164893521,-0.3602860378908918,1,0,0,0,0,0,0
-0.20729809845259953,0.9375844679575567,-0.7308788749525815,-1.1223504884518505,0.9617463701165663,3.116406761171438,1,0,0,0,0,0,0
-0.9122625233178885,1.4284481108358982,-1.2428105562923242,-1.4369386286969794,0.55010546028884,-0.15351707602318318,1,0,0,0,0,0,0
-0.6190382238326924,1.233363215816991,-0.09061010505389915,-1.919840060868843,0.8810719781480293,2.962095984840043,1,0,0,0,0,0,0
-0.1198315111220778,0.30506997158753674,-1.5328062695993967,-1.6861637219409347,0.6592520347660727,1.6010170169976943,1,0,0,0,0,0,0
-0.6279090418611237,1.1710396326953512,-1.3260862414611951,-0.45441929093109384,0.003664859934718802,2.022925205240711,1,0,0,0,0,0,0
-0.5488308532393459,1.744242393214577,-1.417774922438777,-0.02515440072643944,1.171845583453442,2.4831255753414863,1,0,0,0,0,0,0
-1.146113295057948,2.2307184038961787,-0.7941445747519718,-0.7733866237982743,1.2120396230939607,0.8582591305893712,1,0,0,0,0,0,0
-0.020642220760820035,0.523472765590813,0.23184871751862426,-1.586721155358622,-0.06692067746572455,3.5566307108858237,1,0,0,0,0,0,0
-0.7792576245439439,1.0160531901135794,0.6727632435348682,-3.0390818306636866,0.5473275750277283,0.9919878906493135,1,0,0,0,0,0,0
-1.9934407083262244,-0.1900172013300297,1.2063523743641746,-2.8169270343594555,-0.04488404207096593,1.203055856559749,1,0,0,0,0,0,0
-0.9911279314097844,1.5927551536622442,-2.555866993192844,0.8659215808581671,-1.7777470265474773,0.5457100485510256,1,0,0,0,0,0,0
